Amendment	n.宪法修正案
professionalism	n.专家的地位,特性或方法, 专业主义
proficiency	n.熟练，精通
proficient	adj.熟练的，精通的
profile	n.剖面，侧面；轮廓
profound	adj.深刻的，深奥的
profoundly	adv.深深地，衷心地
progress	n./vi.前进，发展
progression	n.行进；次序
progressive	adj.前进的；累进的
prohibit	vt.禁止
prohibitive	adj.禁止的，抑制的
prohibitively	adv.令人望而却步地；(价格)极高地
project	n.设计，规划；项目
projecting	adj.突出的，伸出的
projection	n.发射
projectionist	n.电影放映员，幻灯放映员
projector	n.放映机
proliferate	vi.激增；繁殖
proliferation	n.繁殖，大量增殖
prolific	adj.多产的，多结果的
prolong	vt.拖长，延长
prominence	n.显著，突出
prominent	adj.杰出的，突出的
promising	adj.有前途的，有希望的
promote	vt.晋级，使升级；促进
promoter	n.促进者
prompt	vt.鼓动，促进 adj.迅速的；按时地
prone	adj.易于…的；倾向于…的
pronghorn	n.(墨西哥和美国西部产的)叉角羚
pronounced	adj.显著的，明确地
proof	n.证据
proofread	vt.校正，校对
propagate	vt.繁殖 vt.散布，传播
propel	vt.推进，促进
propellant	n.推进物
propensity	n.倾向，癖好
proper	adj.恰当的，得体的
property	n.财产，所有物；性质，特性；（小）道具[pl]
propery	n.财产，所有权
proponent	n.支持者，拥护者
proportion	n.比例，比率
proposal	n.提案；建议
propose	vt.提出，提议
proprietor	n.所有者，业主
proprietorship	n.所有权
propulsion	n.推进；推进力
prose	n.散文
prosecute	vt.对…起诉；告发
prospect	n.前景，期望 vt.勘探，采矿
prospecting	n.探矿
prospector	n.勘探者，采矿者
prosper	vi.繁荣，成功
prosperity	n.繁荣，兴旺
prosperous	adj.成功的，繁荣的
protagonist	n.领导者 n.(戏剧, 故事, 小说中的)主角
protectionist	n.贸易保护主义者
protein	n.蛋白质
protest	n./v.抗议
prototype	n.原型
prototypical	adj.原型的
protruding	adj.突出的
provincialism	n.地方主义，心胸狭窄
provision	n.供应；（一批）供应品；规定
provocation	n.激怒，挑拨，刺激
provocative	adj.挑拨的；煽动的
provoke	vt.激怒，惹起
prudent	adj.审慎的，深谋远虑的
psychoanalysis	n.心理分析
psychology	n.心理学；心理
publicity	n.公开，宣传
publicize	vt.（公开）宣传，宣扬
puddle	n.小水洼
pueblo	n.印第安人村庄
pulp	n.果肉
pulse	n.脉搏，脉冲
pump	n.泵 vt.（用泵）抽，抽吸
pumpkin	n.南瓜
punch	vt.重击 vt.打（孔）
puncture	vt.刺穿，戳破
pungent	adj.（气味、味道）刺激性的，辛辣的；尖锐的
pupil	n.瞳孔
purification	n.纯化，净化
purified	adj.纯净的
purify	vt.提炼，精炼
purple	n.紫色
pursue	vt.追赶，追踪；从事
puzzle	n.难题，谜 v.（使）困惑，为难
puzzling	adj.使迷惑的，使莫名其妙的
pyramid	n.金字塔
quadrilateral	四边形
quail	n.鹌鹑
quaint	adj.奇怪的，离奇有趣的
qualification	n.资格，条件
qualified	adj.合格的
quantitative	adj.定量的；数量的
quarry	n.采石场，露天矿场
quarter	n.四分之一
quarterly	adv.每季地
quartz	n.石英
quench	vt.淬火 vt.熄灭 vt.解渴
quest	n.寻找，探索
questionable	adj.可疑的
questionnaire	n.调查表, 问卷
quiescent	adj.静止的
quilt	n.棉被 vt.制成棉被
quilter	n.缝被子的人
quota	n.配额；定量，定额
quotation	n.引用语
radar	n.雷达
radiant	adj.发光的；荣光焕发的
radiate	v.放射；辐射
radiation	n.辐射，发光，放热
radical	adj.根本的；激进的
radically	adv.根本上
raft	n.筏，救生艇
rage	n.风尚，风靡一时的事物 n.大怒，情绪激动
ragged	adj.褴褛的，破烂的
ragtime	n.拉格泰姆音乐
raid	n.袭击
rainbow	n.彩虹
rainfall	n.降雨；降雨量
rally	v.召集，集合
rampant	adj.蔓生的，猖獗的
ranch	n.农场，牧场
rancher	n.大农场经营者；牧场工人
ranching	adj.放牧的
range	n.行列；范围
rank	vt.排列，归类 n.等级
rare	adj.稀有的
rarefy	vt.使稀少，使稀薄
rarely	adv.很少地，罕有地
ratify	vt.批准
ration	n.定量，配给量 vt.定量配给
rational	adj.理性的，合理的
rationing	n.（食物等的）配给
rattle	n.拨浪鼓；格格声
rattlesnake	n.响尾蛇
raucous	adj.沙哑的；喧嚣的
raven	n.大乌鸦 v./n.掠夺
ravine	n.沟壑，峡谷
rawhide	n.生牛皮
ray	n.光线
rayon	n.人造丝, 人造纤维
raze	vt.夷为平地
readily	adv.容易地；欣然地，立刻地
readjust	vt.重新调整
realization	n.实现；意识
realm	n.王国，领域
reap	vt.收割，收获
rear	vt.培养，饲养 n.后面
reassure	vt.使...安心，打消...疑虑
rebel	n.叛徒 v.谋反
rebellion	n.谋反，叛乱
rebellious	adj.造反的，反叛的
rebroadcast	vt.重播
rebuke	vt.斥责，谴责
recall	vt.忆起，记忆
receptacle	n.容器；贮藏所，仓库
reception	n.接待；招待会 n.接收
receptionist	n.招待员
receptive	adj.善于接受的，能接纳的
receptor	n.接受器，感受器
recession	n.萧条时期，（经济）衰退
recipe	n.食谱，处方
recipient	n.接受者，接收方
recital	n.独奏会
reckless	n.轻率的，鲁莽的
reckon	vt.计算；估计，猜想
reclaim	vt.开垦；要求归还，收回
reclamation	n.开垦；改造；（废料等的）回收
recognition	n.赞誉，承认
recognize	vt.识别，辨认 vt.公认，赏识
recoil	vi.弹回，反冲
recollection	n.回忆，记忆
recommend	vt.推荐 vt.劝告
recommendation	n.推荐，介绍（信）
recompose	vt.重写；重新安排
reconstruct	vt.重建，改进
reconstruction	n.复兴，改造，再建
recount	vt.叙述，描写
recreation	n.消遣，娱乐
recreational	adj.娱乐的
recruit	vt.征兵，征募；补充
rectangle	n.长方形
rectangular	adj.矩形的，长方形的
rectify	vt.矫正
recur	vi.重现，再来；复发
recurring	adj.往复的，再次发生的
recycle	vt.使再循环，再利用
redirect	v.（信件）重寄；使改变方向
reed	n.芦苇
reef	n.礁，暗礁
refine	vt.精炼，精制
refined	adj.优雅的；精制的
refinement	n.（言语、举止等的）文雅，精巧
reflection	n.反映
reform	n./v.改革，革新
reformer	n.改革家，改革运动者
reformism	n.改革主义
refraction	n.折光，折射
refreshing	adj.提神的,凉爽的;使人耳目一新的
refreshment	n.茶点；提神之事物
refrigerant	n.制冷剂
refrigerate	vt.使冷却，冷藏
refrigeration	n.冷藏，冷却
refrigerator	n.冰箱，冷藏库
refurbish	vt.刷新，再磨光
refute	vt.反驳
regardless	adj.不管，不顾，不注意
regenerate	vt.使再生，新生；更新
regeneration	n.（灵魂）重生，新生
regime	n.政权，政体；政治制度
regimentation	n.系统化，组织化；团队精神
register	vt.登记
regulate	vt.管制，控制 vt.调节
regulation	n.规则，规章
regulatory	adj.按规矩来的，规章的，调节的
rehabilitate	vt.使(身体)康复；使复职；使复元
rehabilitation	n.恢复，复员
rehearse	vt.预演，排练
reign	n./vi.统治，支配
reigning	adj.统治的，起支配作用的
reimburse	vt.偿还
reinforce	vt.加强
reinterpretation	n.重新解释，纠正性说明
reiterate	vt.重申，反复地说
reject	vt.拒绝，抵制
rejection	n.拒绝
rejuvenate	v.(使)返老还童；(使)恢复活力
rekindle	vt.再点火；使再振作
relax	v.（使）松弛，放松
relaxation	n.松弛，缓和
relaxed	adj.不拘束的；悠闲的
relay	vt.分程传递；传播
release	v./n.释放
relevance	n.相关
relevant	adj.有关的，切题的
reliability	n.可靠性
reliable	adj.可靠的，可信赖的
reliance	n.依靠；依靠的人或物
reliant	adj.依靠的，信赖自己的
relic	n.遗迹，纪念物
relieve	vt.减轻
relieved	adj.放心的；免除的
religion	n.宗教
religious	adj.信奉宗教的，虔诚的
reluctant	adj.不情愿的，勉强的
remainder	n.残余，剩余物
remaining	n.剩余，残余
remark	n.评论，注释 v.评论；谈及
remarkable	adj.显著的，值得注意的
remarkably	adv.显著地，引人注目地
remedy	n.药物 vt.治疗；补救
remind	vt.提醒，使记得
reminder	n.提醒者
remnant	n.残余，遗迹
renaissance	n.复活；文艺复兴
render	vt.给予，提供
rendering	n.表现，描写
rendition	n.表演，演唱
renew	vt.使更新，使恢复；重新开始
renewable	adj.可更新的，可恢复的
renewal	n.更新；复兴
renounce	vt.声明放弃；宣布断绝关系
renovate	vt.革新；修理，修复
renovation	n.修复，整修 n.革新；修理，修复
rent	n.租金，租费 v.租，出租 adj.(来自rend的过去分词)分裂的，有矛盾的
rentable	adj.可出租的
rental	n.租金额；租赁，出租
renunciation	n.放弃；宣布终止
reorient	v.重新确定方向；再教育
repel	vt.击退，驱逐
repertoire	n.（剧团等）常备剧目，保留剧目
repertory	n.全部剧目；储备，库存；仓库
repetition	n.重复
replace	vt.代替，取代
replenish	vt.补充，把…再备足
replica	n.复制品
replicate	vi.复制
represent	vt.代表；描绘，表现
representation	n.表示，表现
representative	n.代表 adj.典型的，有代表的
repress	vt.抑制，镇压
reproduce	v.繁殖，再生；复制
reproduction	n.复制品；繁殖
reproductive	adj.生殖的
reptile	n.爬行动物
repulse	vt.击退 vt.拒绝，排斥；憎恶
repute	n.名声
reputed	adj.名誉好的，被称为…的，有…名气的
request	v./n.请求，要求
reschedule	v.重新计划, 重订...的时间表
rescue	vt.援救，救援
resemblance	n.相似，酷肖
resemble	vt.像，类似
resent	vt.愤怒，怨恨
resentful	adj.忿恨的，怨恨的
reserve	vt.储备；保留，预定
reservoir	n.水库, 蓄水池
reside	vi.居住
residence	n.居住，住处
resident	n.居民
residential	adj.住宅的，与居住有关的
residual	adj.剩余的，残留的
residue	n.剩余，残余，渣滓
resist	vt.抵抗 vt.不受…影响，抗，耐
resistance	n.反抗，抵抗；抵抗力，阻力
resistant	adj.抵抗的，有抵抗力的
resolute	adj.坚决的，毅然的
resolution	n.分辨率
resolve	vt.解决
resonance	n.回声，反响
resort	n.旅游胜地 n./v.凭借，求助于
resource	n.资源，财力；办法，智谋
respect	n./v.尊敬，敬重 n.方面
respective	adj.分别的，各自的
respectively	adv.分别地，各个地
respiration	n.呼吸
respiratory	adj.呼吸的
respond	vi.回答，反应
responsibility	n.责任，职责
responsible	adj.有责任的 adj.负责的；可依赖的
responsive	adj.响应的，做出相应的
restoration	n.恢复；翻新
restore	vt.使恢复；整修，修复
restrain	vt.克制，抑制
restraint	n.抑制，克制
restrict	vt.限制，约束
restriction	n.限制，约束
restrictive	adj.限制性的
retail	adj.零售的
retailer	n.零售商
retain	vt.保持，保留
retentive	vt.保留的，有记忆的
retire	vi.退休，引退
retirement	n.退休
retool	vt.将机械重新整备，重组
retract	vt.缩回，撤回 vt.收回，取消
retreat	n.消退，退却 n.隐退处 vi.撤退，退却
retrieve	v.重新找回，取回；找回猎物
retriever	n.能把猎物找回来的猎狗的一种
retrospect	n.反顾，回顾
retrospective	adj.回顾的，怀旧的
reveal	vt.展现；揭露
revere	vt.尊崇，尊敬
revered	adj.可敬的，尊敬的
reverently	adv.虔诚地
reverse	adj.相反的,倒转的     vt. 颠倒,倒转
reversible	adj.可逆的，可翻转的
revise	vt.修改，修订
revision	n.修订，修改
revitalization	n.新生,复兴
revival	n.复兴，复活
revive	vt.使复活；使振奋
revolt	n./v.反抗，起义，反叛
revolution	n.革命
revolutionary	adj.革命的
revolutionize	vt.大事改革；在…方面发动革命
rhetoric	n.修辞；修辞学
rhythm	n.节奏，韵律
rhythmic	adj.有节奏的，有韵律的
rhythmical	adj.有韵律的，有节奏的
ridge	n.脊，山脊
ridicule	v.嘲笑
ridiculous	adj.荒唐的，可笑的
rifle	n.来复枪，步枪
rift	n.裂缝；断裂，长峡谷
rigid	adj.坚硬的，不易弯曲的 adj.严格的
rigidity	n.僵化，死板 n.刚性，硬度
rigor	n.严酷；严格，严厉
rigorous	adj.严格的
rinse	v.用清水冲洗；漱
riot	n.暴动，骚乱
rip	vt.撕，撕裂
ripe	adj.熟的；成熟的
ripen	v.（使）成熟
risky	adj.危险的，冒险的
rite	n.仪式
ritual	n.典礼,宗教仪式；例行公事,常规 adj.典礼的，宗教仪式的
rival	vt.比得上，与…相匹敌 adj.竞争的 n.竞争者；匹敌者
rivalry	n.竞争；敌对状态
roam	vi.漫游，漫步
roar	n.吼，轰鸣
roast	vt.烤，烘
robust	adj.强壮的，健壮的
rod	n.杆；枝
rodent	n.啮齿类动物
roe	n.鱼卵
role	n.角色，任务
roll	v.滚动 n.（一）卷，卷形物
romote	adj.遥远的，偏僻的
roost	n.栖息处，鸟巢 v.栖息
rooster	n.公鸡
rotate	v.轮流 v.（使）旋转
rotation	n.旋转
rote	n.死记硬背，生搬硬套
rough	adj.粗糙的；不平的
roughly	adv.概略地；大致地
routine	n.常规，惯例 adj.常规的，日常的
routinely	adv.例行公事地
rubbery	adj.橡胶似的，有弹性的
rubble	n.（一堆）碎石，瓦砾
rudimentary	adj.基本的；初步的，发展未完全的
rugged	adj.高低不平的；崎岖的
ruin	v.破坏，毁灭
ruins	n.废墟，遗迹
rumble	v.发出低沉的隆隆声 n.隆隆声，辘辘行驶声
rupture	n./v.断裂，断绝
rural	adj.农村的，乡下的，田园的
rust	n.锈，生锈 n.（植物）患锈病
rustic	adj.乡村的，乡下风格的
rustproof	adj.不锈的
sac	n.（生物）囊，液囊
sack	n.袋，麻袋
sacred	adj.宗教的；祭祀的 adj.神圣的，不可冒犯的
saddle	n.鞍子，马鞍
saga	n.英雄传奇
sake	n.缘故；原因
salient	adj.显著的，突出的
saline	adj.含盐的，咸的
salinity	n.盐分，盐度
saliva	n.口水，唾液
saltiness	n.盐度
sample	n.范例，样品
sanctimonious	adj.假装神圣的，伪装虔诚的
sanction	n.制裁 n.批准，认可
sanctuary	n.避难所；动物保护区 n.圣所，圣殿
sandy	adj.沙的，多沙的
sanitary	adj.（有关）卫生的
sanitation	n.（公共、环境）卫生，卫生设施
sap	n.树液，汁液 v.使衰竭
sapphire	n.蓝宝石
sarcastic	adj.讽刺的，挖苦的
satire	n.讽刺；讽刺文学
satiric	adj.讽刺的，挖苦的
satirist	n.讽刺作家
satisfaction	n.满意，满足
satisfactory	adj.令人满意的，符合要求的
saturate	vt.浸透，使湿透
saturated	adj.渗透的, 饱和的
saucer	n.茶碟，垫盘
save	vt.拯救；保留 prep.除…之外
savings	n.储蓄，存款
scaffolding	n.脚手架
scale	vt.攀登 n.等级，刻度；规模 n.鱼鳞，鳞片
scaled	adj.有鳞状斑点的，有鳞的
scan	vt.扫描；细看，审视
scapegoat	n.替罪羊，代人受过的人
scarce	adj.缺乏的，稀有的，罕见的
scarcely	adv.几乎不，简直没有
scare	vt.惊吓，使受惊
scarlet	adj.猩红的，鲜红的
scatter	vt.使分散，扩散
scavenger	n.清道夫，食腐动物
scene	n.地点，现场；景色
scenery	n.风景，景色
scenic	adj.风景如画的
scent	n.气味；香味
schedule	n.时间表；计划表 vt.预定，安排
scheme	n.方案 n.阴谋
scholar	n.学者
scholarly	adj.学者气质的，学术的
scholarship	n.奖学金
scissors	n.剪刀
scope	n.范围，界限
score	n.分数，得分；刻痕，划痕 n.乐谱 v.记分
scotch	v.镇压，粉碎
scour	vt.冲刷，擦掉
scout	n.侦察；侦察员 vt.侦察
scramble	vt.搅乱，使混杂 v.攀爬
scrap	n.废料，残余物 vt.废弃，扔弃
scrape	n.刮，擦；擦痕 vi.刮掉，擦掉；vt. 刮，擦，擦伤
scraping	n.刮削下的碎屑
scratch	vt.搔，抓，擦 n.划痕
screen	n.屏幕 vt.甄别，审察；掩盖
screw	n.螺旋，螺钉 v.旋紧，拧紧
screwdriver	n.螺丝刀
scruple	n.踌躇；顾忌
scrupulously	adv.小心翼翼地
scuba	n.水中呼吸器
sculpt	vt.雕刻，造型
sculptor	n.雕刻家
sculptural	adj.雕刻的，雕刻般的
sculpture	n.雕塑；雕刻品
seabed	n.海底，海床
seam	n.接缝，缝合线
seamen	n.海员
seamount	n.海底山
seaport	n.海港，港口
seashore	n.海岸，海滨
seasonal	adj.季节的，季节性的
seasoning	n.调味品，调料
seaweed	n.海草，海藻
seclude	vt.使隔离，使孤立
seclusion	n.独处，隐居
secondary	adj.中级的 adj.次要的，伴随的
secret	n.秘密
secrete	vt.分泌；隐匿，使隐秘
secretin	n.分泌素
sect	n.宗派，教派
section	n.部分，节
sectional	adj.部分的，部门的
sector	n.扇形面；地区
secular	adj.世俗的，尘世的
secure	vt.使安全，保卫 vt.获得 adj.安全的；确定无疑的
securely	adv.安心地, 安全地
security	n.安全
sedentary	adj.（人或动物）土生的，不迁徙的 adj.（工作）坐着做的（不需运动）
sediment	n.沉积物，沉淀物
sedimentary	adj.沉积的，沉淀性的
seduce	vt.勾引，诱惑
seedling	n.秧苗, 树苗
seemingly	adv.表面上，似乎
segment	n.部分；片断
segregate	vt.分离，隔离
seismic	adj.地震的；由地震引起的
seismograph	n.地震仪
seismology	n.地震学
selection	n.选择, 挑选；选集, 精选品
self-sufficient	adj.自给自足的
semester	n.学期
semiarid	adj.雨量非常少的，半干旱的
semiliterate	n.半文盲，有初等文化者
semimolten	adj.半熔化的
senator	n.参议员
sensation	n.感觉，知觉
sensational	adj.极好的，绝妙的；引起轰动的
sensibility	n.敏感性，感性
sensible	adj.明智的，合理的 adj.可感觉到的，明显的
sensitive	adj.灵敏的 adj.敏感的，易受影响的
sensitivity	n.敏感
sensory	adj.感觉的，感官的
sentence	n./v.宣判
sentimental	adj.感伤性的, 感情脆弱的
sentimentalism	n.感情主意，感情用事
sentimentalize	v.伤感
sequence	n.序列；顺序
sequester	vt.使退隐，使隔绝
serene	adj.平静的，安详的
serious	adj.严肃的，认真的 adj.严重的
seriously	adv.认真地；庄重地
serrated	adj.锯齿状的
setting	n.背景，环境；装置
sewer	n.下水道；裁缝师
sewerage	n.排水系统
shade	n.阴，阴凉处；阴影 n.遮光物，帘
shaft	n.杆状物，轴
shallow	adj.浅的
sharpen	vt.消尖；使敏锐，使敏捷
sharply	adv.突然地，猛烈地
shatter	v.使粉碎，破碎
shear	v.剪，修剪，剪切 n.shears  剪刀
sheath	n.鞘，外壳
shed	vt.脱落，蜕 vt.流出；发散 n.棚，小屋
sheer	adj.陡峭的 adj.纯粹的，绝对的
shell	n.壳 vt.去壳，脱落
shellfish	n.贝，有壳的水生动物
shelter	n.掩蔽处；庇护所 vt.掩蔽
sheltered	adj.遮蔽的
shepherd	n.牧羊人；牧羊犬
shield	v.庇护，保护 n.盾；保护物
shift	v.移动，改变位置或方向 n.轮班 n.转移；改变
shifting	adj.变动的；运动的
shine	vi.照耀，发光
shingle	n. <美口>小招牌(尤指医生或律师挂的营业招牌)
shining	adj.发亮的，华丽的
shiny	adj.有光泽的，发光的
shipload	n.船货, 一船上的载货
shipment	n.装运；装载的货物
shipwreck	n.船只失事, 海难
shipwright	n.造船工人
shock	n.震动，震惊 vt.震惊，激怒
shocked	adj.震惊的，震撼的
shocking	adj.骇人听闻的
short-range	adj.近程的
shortcut	n.捷径
shot	n.照相，照片 n.开枪，射击
shrink	vi.收缩，缩小
shrinkage	n.收缩
shrivel	v.（使）枯萎
shrub	n.灌木；灌木丛
shuffle	vt.洗牌
shutter	n.百叶窗；快门
shuttle	n.梭子；往返汽车 v.穿梭往返
shy	adj.害羞的；胆小的
shyness	n.羞怯，胆怯
sick	adj.不舒服的，有病的；恶心的
sickness	n.疾病；呕吐
sidestep	v.横跨一步躲闪；回避(困难)
sideways	adv.向一旁，向侧面地
significance	n.意义，含义；重要性
significant	adj.有意义的；重要的，重大的
signify	vt.表示，意味
silica	n.硅石，硅土
silicate	n.[化]硅酸盐
silly	adj.愚蠢的；糊涂的；傻的
silt	n.淤泥
silversmith	n.银器匠
simplicity	n.简单；朴素
simulate	vt.模拟，模仿
simultaneous	adj.同时的, 同时发生的
sinuous	adj.蜿蜒的，迂回的
skeleton	n.骨架；纲要
skeptical	adj.怀疑的；多疑的
skepticism	n.怀疑
sketch	n.草图；素描 vt.打草稿；素描
skimp	v.节省，节俭；吝啬
skip	v.跳 v.逃过；遗漏
skull	n.头骨
skyrocket	vi.猛涨，突增
skyscraper	n.摩天大楼
slab	n.（四边形的厚物质）板，片
slander	n./v.诽谤
slash	vt.大量消减
slavish	adj.卑屈的；盲从的
slender	adj.苗条的；纤细的
slice	n.薄片；部分，份 vt.切成薄片，切下
slide	v.（使）滑动，（使）滑行 n.幻灯片；滑，滑动
slight	adj.轻微的；微小的，微不足道的
slightly	adv.些微地
slime	n.黏土；黏液
slimy	adj.黏糊糊的；（分泌）黏液的
slip	n.片，纸片 n.滑倒；事故 v.滑动；滑倒
slipper	n.拖鞋
slippery	adj.（物体表面）滑的，光滑的
sloop	n.单桅帆船
slope	n.斜坡，斜面
sloping	adj.倾斜的，有坡度的
sloth	n.树懒；怠惰，懒惰
slothful	adj.迟钝的，懒惰的
sluggish	adj.行动迟缓的；不活泼的
slum	n.贫民窟
slumber	n.睡眠
smart	adj.巧妙的，聪明的
smelting	n.冶炼
smog	n.烟雾
smoothly	adv.平稳地；顺利地
smother	vt.使窒息 vt.熄灭；覆盖
smuggle	vt.走私
snap	v.突然折断 v.突然抓住或握住
snippet	adj.小片，片段；摘录
snowdrift	n.随风飘飞的雪
snowflake	n.雪花
snug	adj.温暖舒适的
sociable	adj.好交际的，友善的
softwood	n.软木材
solar	adj.太阳的
solder	vt.焊接，焊在一起
soldier	n.军人，士兵
sole	adj.单独的，惟一的 n.鞋底
solely	adv.独自地，单独地
solemn	adj.严肃的；庄严的，隆重的
solicit	vt.恳求，乞求
solicitor	n.律师，法律顾问
solidarity	n.团结，团结一致
solidify	vt.使凝结，使团结，使巩固
solitary	adj.孤独的；独居的
solitude	n.孤独；独处
solo	n.独奏曲 adj.单独的
soloist	n.独奏者，独唱者
soluble	adj.可溶的，可溶解的
solution	n.解答，解决 n.溶液
somewhat	adv.稍微，有点
soothe	vt.使（某人情绪）平静，安慰；使（痛苦，疼痛）缓和或减轻
sophisticated	adj.(事物)复杂的；(人)久经事故的
sophistication	n.老练；精致复杂
sort	n./v.种类，分类
soundproof	vt.使隔音 adj.隔音的
sour	adj.酸的
souvenir	n.纪念品
sovereign	n.君主；统治 adj.独立自主的
sovereignty	n.主权，统治权
sow	vt.播种
soy	n.大豆
soybean	n.大豆
spacecraft	n.宇宙飞船
spaceship	n.宇宙飞船
spacious	adj.广大的，宽敞的
span	n.跨度；一段时间 vt.跨越
spangle	v.（使）闪烁
spanking	adj.强烈的，疾行的
spare	adj.多余的，备用的 vt.节约，节省 n.剩余，备用品
sparingly	adv.节俭地，保守地
spark	n.火花，火星 vt.发动，激起
sparrow	n.麻雀
sparse	adj.稀少的；稀疏的
sparsely	adv.稀疏地，稀少地
spawn	v.产卵，大量生育 v.造成，酿成
specialized	adj.专业的，专门的
species	n.类群，种类
specific	adj.具体的，特指的
specification	n.规格，详细说明书
specified	adj.特定的
specify	vt.明确说明；具体指定
specimen	n.标本，样品
speck	n.斑点
spectacle	n.奇观；展示，景象
spectacular	adj.引人入胜的，壮观的
spectacularly	adv.引人入胜地
spectator	n.参观者，观众
spectra	n.光谱
spectrum	n.谱，光谱
speculate	v.推测；沉思
speedy	adj.快的，迅速的
sphere	n.球体
spherical	adj.球的，球状的
spill	vi.溢出 n.溢出，溅出
spinach	n.菠菜
spinal	adj.脊骨的，脊髓的
spine	n.脊骨；书脊；刺
spined	adj.有脊骨的，有脊柱的
spinet	n.小型立式钢琴
spinning	adj.旋转的
spiny	adj.多刺的，刺状的
spiral	adj.螺旋形的，盘旋的 v.盘旋
spiritual	adj.精神上的
splash	v.溅，泼
splendor	n.壮丽，辉煌
split	v.劈开，（使）裂开；分开
spoil	v.损坏；腐烂 v.宠爱，溺爱
spoilage	n.（食物等）变质，损坏
sponge	n.海绵
spontaneity	n.自然，自发
spontaneous	adj.自发的，自然产生的
spontaneously	adv.自然地, 本能地
spoon	n.匙，勺子
sporadically	adv.偶发地, 零星地
spot	n.地点，场所 v.发觉，发现
spotless	adj.没有污点的
spotlight	v.强调，突出     n. 重点
sprawl	vi.散乱地延伸 vi.四肢摊开着坐、卧或倒下 n.扩展，蔓延
spray	n.喷雾，飞沫 vt.向…喷射，喷
spring	n.泉；弹簧 v.跳跃
springtime	n.春天，春季
springwater	n.天然泉水
sprout	vi.长出，萌芽
spur	n.踢马刺 vt.刺激，鞭策
squarely	adv.坚实的，坚固地
squash	n.南瓜 v.压碎，挤压；镇压
squeeze	vt.榨；挤进，塞进
squirrel	n.松鼠
squirt	vi.喷出，溅进
stability	n.稳定性
stabilize	vt.使稳定，使坚固
stable	adj.稳定的，相对固定的
stack	vt.堆积 n.堆
staff	n.全体人员或职员
stagecoach	n.公共马车
stagger	vi.蹒跚，摇晃
staggering	adj.巨大的，惊人的
stagnant	adj.停滞的, 迟钝的
stain	n.污点，瑕疵
stained	adj.污染的，玷污的
staircase	n.楼梯
stalk	vt.隐伏跟踪（猎物） n.茎，柄，梗
stamina	n.体力，耐力
stand	vt.站立；忍受，容忍
standard	n./adj.标准（的）
standardize	vt.使符合标准，使标准化
standardized	adj.标准化的
standing	adj.固定的，常设的 n.身分，名望
standpoint	n.立场，观点
stanza	n.（诗）节，段
staple	n.主要产品，日常必需品 adj.主要的，常用的 vt.把…订起来
starch	n.淀粉；淀粉食物
stardom	n.明星的身份或地位
starfish	n.海星
stark	adj.光秃秃的；荒凉的
starvation	n.饥饿，饿死
starve	v.挨饿
stash	vt.藏或贮存于一秘密处所 n.隐藏处
stately	adj.庄严的，堂皇的
stationary	adj.固定的；静止的
stationery	n.文具
statistics	n.统计学
statue	n.雕像
stature	n.身高，身材；声望，地位
status	n.状况；身份，地位
steadfast	adj.坚定的，坚信的
steady	adj.稳的，牢固的 adj.持续的
steak	n.(供煎, 烤等的)肉, 牛排
steep	adj.险峻的，陡峭的 v.浸，泡；沉浸
steer	v.驾驶，掌舵
stellar	adj.星的，星球的
stem	n.（植物的）茎 v.来源于，基于 stem from
stereophotograph	n.立体摄影，立体相片
sterile	adj.贫瘠的；不育的 adj.消过毒的
stern	adj.苛刻的，严格的；严厉的
stick	n.棍，棒；手杖 v.粘住，粘贴 v.stick to 坚持
stickpin	n.领带夹
sticky	adj.粘的，粘性的
stiff	adj.硬的，僵直的 adj.（态度、举止）拘谨的
stiffen	vt.使硬，使僵硬
stifle	vt.使窒息；扼杀，抑制
stilt	n.高跷，支柱
stimulant	n.刺激物，兴奋剂
stimulate	vt.刺激，激励，激发
stimulation	n.激励，鼓舞，刺激
stimuli	n.stimulus复数
stimulus	n.刺激；刺激物
sting	v.刺；刺痛
stipend	n.薪贴；奖学金；养老金
stipulate	vt.约定，规定
stipulation	n.规定，条款
stitch	v.缝
stocky	adj.(人或动物)矮而结实的，粗壮的
stonemason	n.石工，石匠
stout	adj.结实的，勇敢坚定的
strain	n.过度的疲劳，紧张 n.血统；物种 vt.过滤
strand	n.绳、线之一股
strap	v.用带缚住, 用带捆扎
strata	n.地层（复数）
stratum	n.地层（单数）；阶层
strengthen	vt.加强，巩固
strenuous	adj.费力的；艰辛的
strenuously	adv.奋发地，费力地
stretch	v.伸展，伸长
stride	n.大步，一跨步
strike	n./v.罢工，打击
striking	adj.醒目的，惊人的
strikingly	adv.醒目地, 引人侧目地
string	n.（乐器的）弦；细绳，带子
stringent	adj.严厉的 adj.缺钱的，银根紧的，周转困难的
strings	n.弦乐器
strip	vt.剥夺；剥掉 n.条，带
stripe	n.斑纹，条纹
strive	vi.努力，奋斗；力求
stroke	n.（绘画等）一笔；一击
stubborn	adj.顽固的，固执的
stubbornness	n.倔强，顽强
studio	n.录音室；艺术家工作室
stumble	vi.绊倒
stun	vt.使晕倒，打晕；使震惊
stunning	adj.令人惊叹的，极好的
stunt	n.惊人表演，绝技；特技 vt.阻碍…发育，妨碍…生长
sturdy	adj.(人)强健的，结实的；(物)稳固的
stylized	adj.风格化的，程式化的
subdiscipline	n.（学科的）分支，分科
subdivision	n.细分，一部
